sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
182,1782079210.3949275,0.103538,1334,1.6284
183,1782079210.395006,0.103616,1331,1.6248
184,1782079210.39504,0.103651,1331,1.6248
185,1782079210.3956647,0.104275,1331,1.6248
186,1782079210.3957012,0.104312,1337,1.6321
187,1782079210.395724,0.104335,1335,1.6296
188,1782079210.395755,0.104366,1328,1.6211
189,1782079210.3957832,0.104394,1332,1.6260
190,1782079210.395837,0.104448,1327,1.6199
191,1782079210.3963478,0.104958,1328,1.6211
192,1782079210.3964014,0.105012,1321,1.6125
193,1782079210.3964262,0.105037,1322,1.6138
194,1782079210.3965173,0.105128,1320,1.6113
195,1782079210.3965476,0.105158,1327,1.6199
196,1782079210.3965852,0.105196,1323,1.6150
197,1782079210.3971255,0.105736,1322,1.6138
198,1782079210.3971782,0.105789,1318,1.6089
199,1782079210.397208,0.105819,1312,1.6016
200,1782079210.397265,0.105875,1316,1.6064
201,1782079210.3973205,0.105931,1318,1.6089
202,1782079210.3973773,0.105988,1311,1.6003
203,1782079210.3974075,0.106018,1308,1.5967
204,1782079210.3979652,0.106576,1310,1.5991
205,1782079210.3980095,0.106620,1312,1.6016
206,1782079210.398033,0.106643,1310,1.5991
207,1782079210.3980656,0.106676,1305,1.5930
208,1782079210.3981256,0.106736,1306,1.5942
209,1782079210.398239,0.106849,1305,1.5930
210,1782079210.3990357,0.107646,1300,1.5869
211,1782079210.3991616,0.107772,1301,1.5881
212,1782079210.399248,0.107858,1301,1.5881
213,1782079210.3993292,0.107940,1301,1.5881
214,1782079210.3993826,0.107993,1300,1.5869
215,1782079210.399523,0.108134,1303,1.5906
216,1782079210.4001915,0.108802,1302,1.5894
217,1782079210.4037824,0.112393,1306,1.5942
218,1782079210.4045944,0.113205,1302,1.5894
219,1782079210.404718,0.113328,1309,1.5979
220,1782079210.4048305,0.113441,1305,1.5930
221,1782079210.4049025,0.113513,1303,1.5906
222,1782079210.4049807,0.113591,1307,1.5955
223,1782079210.4050374,0.113648,1301,1.5881
224,1782079210.4051354,0.113746,1301,1.5881
225,1782079210.4052289,0.113839,1305,1.5930
226,1782079210.4053028,0.113913,1310,1.5991
227,1782079210.4054747,0.114085,1303,1.5906
228,1782079210.4077833,0.116394,1304,1.5918
229,1782079210.4079268,0.116537,1305,1.5930
230,1782079210.4080036,0.116614,1300,1.5869
231,1782079210.408067,0.116678,1302,1.5894
232,1782079210.408107,0.116718,1302,1.5894
233,1782079210.4085302,0.117141,1299,1.5857
234,1782079210.4094841,0.118095,1293,1.5784
235,1782079210.4095726,0.118183,1295,1.5808
236,1782079210.41003,0.118640,1299,1.5857
237,1782079210.4105566,0.119167,1302,1.5894
238,1782079210.4110267,0.119637,1299,1.5857
239,1782079210.4115543,0.120165,1301,1.5881
240,1782079210.412056,0.120667,1303,1.5906
241,1782079210.4125483,0.121159,1300,1.5869
242,1782079210.4130144,0.121625,1300,1.5869
243,1782079210.4135451,0.122156,1297,1.5833
244,1782079210.4140306,0.122641,1300,1.5869
245,1782079210.414547,0.123158,1303,1.5906
246,1782079210.4150329,0.123643,1303,1.5906
247,1782079210.4155462,0.124157,1299,1.5857
248,1782079210.4160366,0.124647,1300,1.5869
249,1782079210.4168158,0.125426,1297,1.5833
250,1782079210.4169989,0.125609,1300,1.5869
251,1782079210.4175596,0.126170,1299,1.5857
252,1782079210.4179883,0.126599,1299,1.5857
253,1782079210.4284801,0.137091,1291,1.5759
254,1782079210.4289577,0.137568,1296,1.5820
255,1782079210.4290314,0.137642,1292,1.5771
256,1782079210.4290967,0.137707,1297,1.5833
257,1782079210.4291265,0.137737,1299,1.5857
258,1782079210.4305522,0.139163,1301,1.5881
259,1782079210.4306326,0.139243,1297,1.5833
260,1782079210.4336255,0.142236,1300,1.5869
261,1782079210.4337125,0.142323,1301,1.5881
262,1782079210.4337764,0.142387,1299,1.5857
263,1782079210.4338038,0.142414,1295,1.5808
264,1782079210.436402,0.145013,1298,1.5845
265,1782079210.4370742,0.145685,1299,1.5857
