sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
201,1782079180.3262057,0.101555,1447,1.7664
202,1782079180.326294,0.101644,1450,1.7700
203,1782079180.3295074,0.104857,1456,1.7773
204,1782079180.3295884,0.104938,1458,1.7798
205,1782079180.3296266,0.104976,1462,1.7847
206,1782079180.3296728,0.105022,1456,1.7773
207,1782079180.3297193,0.105069,1459,1.7810
208,1782079180.3297775,0.105127,1452,1.7725
209,1782079180.3298094,0.105159,1458,1.7798
210,1782079180.3303785,0.105728,1451,1.7712
211,1782079180.3324528,0.107802,1449,1.7688
212,1782079180.3325126,0.107862,1453,1.7737
213,1782079180.3325698,0.107919,1448,1.7676
214,1782079180.332604,0.107954,1440,1.7578
215,1782079180.33285,0.108200,1442,1.7603
216,1782079180.3337722,0.109122,1444,1.7627
217,1782079180.3338952,0.109245,1441,1.7590
218,1782079180.334357,0.109707,1440,1.7578
219,1782079180.3348923,0.110242,1434,1.7505
220,1782079180.3353775,0.110727,1430,1.7456
221,1782079180.3359022,0.111252,1433,1.7493
222,1782079180.3363934,0.111743,1431,1.7468
223,1782079180.3369124,0.112262,1435,1.7517
224,1782079180.3373182,0.112668,1434,1.7505
225,1782079180.337911,0.113261,1428,1.7432
226,1782079180.338402,0.113752,1432,1.7480
227,1782079180.3388536,0.114203,1427,1.7419
228,1782079180.339356,0.114706,1431,1.7468
229,1782079180.3399115,0.115261,1432,1.7480
230,1782079180.3403625,0.115712,1435,1.7517
231,1782079180.3408875,0.116237,1431,1.7468
232,1782079180.3413541,0.116704,1427,1.7419
233,1782079180.3419054,0.117255,1433,1.7493
234,1782079180.3424091,0.117759,1430,1.7456
235,1782079180.3428676,0.118217,1429,1.7444
236,1782079180.346038,0.121388,1431,1.7468
237,1782079180.3494947,0.124844,1427,1.7419
238,1782079180.3495605,0.124910,1430,1.7456
239,1782079180.353037,0.128387,1427,1.7419
240,1782079180.3530798,0.128429,1430,1.7456
241,1782079180.353103,0.128453,1434,1.7505
242,1782079180.3531466,0.128496,1432,1.7480
243,1782079180.353169,0.128519,1436,1.7529
244,1782079180.3537307,0.129080,1442,1.7603
245,1782079180.3537774,0.129127,1442,1.7603
246,1782079180.3538005,0.129150,1446,1.7651
247,1782079180.353834,0.129184,1445,1.7639
248,1782079180.353853,0.129203,1446,1.7651
249,1782079180.354617,0.129967,1451,1.7712
250,1782079180.3546586,0.130008,1449,1.7688
251,1782079180.3546782,0.130028,1452,1.7725
252,1782079180.3552067,0.130556,1457,1.7786
253,1782079180.3552604,0.130610,1452,1.7725
254,1782079180.3552861,0.130636,1455,1.7761
255,1782079180.3557596,0.131109,1448,1.7676
256,1782079180.3558078,0.131157,1452,1.7725
257,1782079180.355832,0.131182,1445,1.7639
258,1782079180.3558738,0.131223,1445,1.7639
259,1782079180.3563924,0.131742,1442,1.7603
260,1782079180.3564281,0.131778,1444,1.7627
261,1782079180.3564472,0.131797,1444,1.7627
262,1782079180.3564708,0.131820,1436,1.7529
263,1782079180.3589044,0.134254,1437,1.7542
264,1782079180.3589544,0.134304,1434,1.7505
265,1782079180.3589778,0.134327,1435,1.7517
266,1782079180.359008,0.134358,1434,1.7505
267,1782079180.359061,0.134411,1430,1.7456
268,1782079180.3616564,0.137006,1431,1.7468
269,1782079180.3617158,0.137065,1429,1.7444
270,1782079180.361749,0.137099,1430,1.7456
271,1782079180.3617723,0.137122,1425,1.7395
272,1782079180.361825,0.137175,1426,1.7407
273,1782079180.3618546,0.137204,1419,1.7322
274,1782079180.3626423,0.137992,1423,1.7371
